cell_x,cell_y,time_step,zscore,pvalue
0,2,3,3.928,2.03E+02
0,3,3,3.997,2.04E+02
0,4,3,3.977,2.05E+02
0,5,3,3.94,2.06E+02
0,6,3,3.995,2.07E+02
0,7,3,3.998,2.08E+02
0,8,3,3.973,2.09E+02
0,9,3,3.99,2.10E+02
1,0,3,3.952,2.11E+02
1,1,3,3.99,2.12E+02
1,2,3,3.924,2.13E+02
1,3,3,3.965,2.14E+02
1,4,3,3.996,2.15E+02
1,5,3,3.97,2.16E+02
1,6,3,3.935,2.17E+02
1,7,3,3.925,2.18E+02
1,8,3,3.958,2.19E+02
1,9,3,3.964,2.20E+02
2,0,3,3.957,2.21E+02
2,1,3,3.952,2.22E+02
2,2,3,3.996,2.23E+02
2,3,3,3.937,2.24E+02
2,4,3,3.955,2.25E+02
2,5,3,3.948,2.26E+02
2,6,3,3.984,2.27E+02
2,7,3,3.994,2.28E+02
2,8,3,3.95,2.29E+02
2,9,3,3.969,2.30E+02
3,0,3,3.935,2.31E+02
3,1,3,3.993,2.32E+02
3,2,3,3.983,2.33E+02
3,3,3,3.994,2.34E+02
3,4,3,3.98,2.35E+02
3,5,3,3.931,2.36E+02
3,6,3,3.955,2.37E+02
3,7,3,3.945,2.38E+02
3,8,3,3.96,2.39E+02
3,9,3,3.991,2.40E+02
4,0,3,3.965,2.41E+02
4,1,3,3.962,2.42E+02
4,2,3,3.969,2.43E+02
4,3,3,3.981,2.44E+02
4,4,3,3.997,2.45E+02
4,5,3,3.931,2.46E+02
4,6,3,3.989,2.47E+02
4,7,3,3.969,2.48E+02
4,8,3,3.975,2.49E+02
4,9,3,3.934,2.50E+02
5,0,3,3.942,2.51E+02
5,1,3,3.951,2.52E+02
5,2,3,3.995,2.53E+02
5,3,3,3.986,2.54E+02
5,4,3,3.948,2.55E+02
5,5,3,3.988,2.56E+02
5,6,3,3.944,2.57E+02
5,7,3,3.955,2.58E+02
5,8,3,3.938,2.59E+02
5,9,3,3.93,2.60E+02
6,0,3,3.99,2.61E+02
6,1,3,3.937,2.62E+02
6,2,3,3.979,2.63E+02
6,3,3,3.955,2.64E+02
6,4,3,3.931,2.65E+02
6,5,3,3.95,2.66E+02
6,6,3,3.999,2.67E+02
6,7,3,3.931,2.68E+02
6,8,3,3.993,2.69E+02
6,9,3,3.964,2.70E+02
7,0,3,3.941,2.71E+02
7,1,3,3.987,2.72E+02
7,2,3,3.961,2.73E+02
7,3,3,3.945,2.74E+02
7,4,3,3.981,2.75E+02
7,5,3,3.931,2.76E+02
7,6,3,3.928,2.77E+02
7,7,3,3.966,2.78E+02
7,8,3,3.991,2.79E+02
7,9,3,3.988,2.80E+02
8,0,3,3.951,2.81E+02
8,1,3,3.991,2.82E+02
8,2,3,3.925,2.83E+02
8,3,3,3.974,2.84E+02
8,4,3,3.944,2.85E+02
8,5,3,3.939,2.86E+02
8,6,3,3.952,2.87E+02
8,7,3,3.924,2.88E+02
8,8,3,3.963,2.89E+02
8,9,3,3.951,2.90E+02
9,0,3,3.954,2.91E+02
9,1,3,3.985,2.92E+02
9,2,3,3.926,2.93E+02
9,3,3,3.95,2.94E+02
9,4,3,3.939,2.95E+02
9,5,3,3.969,2.96E+02
9,6,3,3.955,2.97E+02
9,7,3,3.938,2.98E+02
9,8,3,3.961,2.99E+02
9,9,3,3.968,3.00E+02
0,0,4,3.931,3.01E+02
0,1,4,3.959,3.02E+02
0,2,4,3.946,3.03E+02
0,3,4,3.933,3.04E+02
0,4,4,3.929,3.05E+02
0,5,4,3.967,3.06E+02
0,6,4,3.922,3.07E+02
0,7,4,3.983,3.08E+02
0,8,4,3.957,3.09E+02
0,9,4,3.933,3.10E+02
1,0,4,3.93,3.11E+02
1,1,4,3.945,3.12E+02
1,2,4,3.97,3.13E+02
1,3,4,3.999,3.14E+02
1,4,4,3.932,3.15E+02
1,5,4,3.959,3.16E+02
1,6,4,3.92,3.17E+02
1,7,4,3.984,3.18E+02
1,8,4,3.987,3.19E+02
1,9,4,3.968,3.20E+02
2,0,4,3.949,3.21E+02
2,1,4,3.963,3.22E+02
2,2,4,3.938,3.23E+02
2,3,4,3.997,3.24E+02
2,4,4,3.968,3.25E+02
2,5,4,3.99,3.26E+02
2,6,4,3.97,3.27E+02
2,7,4,3.96,3.28E+02
2,8,4,3.939,3.29E+02
2,9,4,3.958,3.30E+02
3,0,4,3.966,3.31E+02
3,1,4,3.929,3.32E+02
3,2,4,3.954,3.33E+02
3,3,4,3.98,3.34E+02
3,4,4,3.951,3.35E+02
3,5,4,3.978,3.36E+02
3,6,4,3.946,3.37E+02
3,7,4,3.938,3.38E+02
3,8,4,3.98,3.39E+02
3,9,4,3.955,3.40E+02
4,0,4,3.964,3.41E+02
4,1,4,3.974,3.42E+02
4,2,4,3.936,3.43E+02
4,3,4,3.966,3.44E+02
4,4,4,3.975,3.45E+02
4,5,4,3.985,3.46E+02
4,6,4,3.945,3.47E+02
4,7,4,3.947,3.48E+02
4,8,4,3.989,3.49E+02
4,9,4,3.945,3.50E+02
5,0,4,3.946,3.51E+02
5,1,4,3.937,3.52E+02
5,2,4,3.995,3.53E+02
5,3,4,3.934,3.54E+02
5,4,4,3.978,3.55E+02
5,5,4,3.95,3.56E+02
5,6,4,3.996,3.57E+02
5,7,4,3.948,3.58E+02
5,8,4,3.98,3.59E+02
5,9,4,3.964,3.60E+02
6,0,4,3.937,3.61E+02
6,1,4,3.941,3.62E+02
6,2,4,3.942,3.63E+02
6,3,4,3.971,3.64E+02
6,4,4,3.979,3.65E+02
6,5,4,3.924,3.66E+02
6,6,4,3.959,3.67E+02
6,7,4,3.978,3.68E+02
6,8,4,3.92,3.69E+02
6,9,4,3.937,3.70E+02
7,0,4,3.952,3.71E+02
7,1,4,3.972,3.72E+02
7,2,4,3.956,3.73E+02
7,3,4,3.977,3.74E+02
7,4,4,3.971,3.75E+02
7,5,4,3.938,3.76E+02
7,6,4,3.964,3.77E+02
7,7,4,3.994,3.78E+02
7,8,4,3.948,3.79E+02
7,9,4,3.962,3.80E+02
8,0,4,3.942,3.81E+02
8,1,4,3.926,3.82E+02
8,2,4,3.992,3.83E+02
8,3,4,3.983,3.84E+02
8,4,4,3.944,3.85E+02
8,5,4,3.992,3.86E+02
8,6,4,3.957,3.87E+02
8,7,4,3.939,3.88E+02
8,8,4,3.921,3.89E+02
8,9,4,3.981,3.90E+02
9,0,4,3.946,3.91E+02
9,1,4,3.978,3.92E+02
9,2,4,3.929,3.93E+02
9,3,4,3.974,3.94E+02
9,4,4,3.94,3.95E+02
9,5,4,3.999,3.96E+02
9,6,4,3.978,3.97E+02
9,7,4,3.925,3.98E+02
9,8,4,3.998,3.99E+02
9,9,4,3.96,4.00E+02
0,0,5,3.98,4.01E+02
0,1,5,3.974,4.02E+02
0,2,5,3.976,4.03E+02
0,3,5,3.948,4.04E+02
0,4,5,3.983,4.05E+02
0,5,5,3.988,4.06E+02
0,6,5,3.944,4.07E+02
0,7,5,3.944,4.08E+02
0,8,5,3.977,4.09E+02
0,9,5,3.941,4.10E+02
1,0,5,3.953,4.11E+02
1,1,5,3.972,4.12E+02
1,2,5,3.958,4.13E+02
1,3,5,3.927,4.14E+02
1,4,5,3.928,4.15E+02
1,5,5,3.984,4.16E+02
1,6,5,3.941,4.17E+02
1,7,5,3.938,4.18E+02
1,8,5,3.937,4.19E+02
1,9,5,3.938,4.20E+02
2,0,5,3.921,4.21E+02
2,1,5,3.993,4.22E+02
2,2,5,3.941,4.23E+02
2,3,5,3.935,4.24E+02
2,4,5,3.989,4.25E+02
2,5,5,3.944,4.26E+02
2,6,5,3.934,4.27E+02
2,7,5,3.99,4.28E+02
2,8,5,3.938,4.29E+02
2,9,5,3.974,4.30E+02
3,0,5,3.987,4.31E+02
3,1,5,3.942,4.32E+02
3,2,5,3.989,4.33E+02
3,3,5,3.957,4.34E+02
3,4,5,3.935,4.35E+02
3,5,5,3.967,4.36E+02
3,6,5,3.948,4.37E+02
3,7,5,3.92,4.38E+02
3,8,5,3.996,4.39E+02
3,9,5,3.975,4.40E+02
4,0,5,3.964,4.41E+02
4,1,5,3.934,4.42E+02
4,2,5,3.932,4.43E+02
4,3,5,3.928,4.44E+02
4,4,5,3.95,4.45E+02
4,5,5,3.972,4.46E+02
4,6,5,3.993,4.47E+02
4,7,5,3.97,4.48E+02
4,8,5,3.942,4.49E+02
4,9,5,3.953,4.50E+02
5,0,5,3.982,4.51E+02
5,1,5,3.984,4.52E+02
5,2,5,3.957,4.53E+02
5,3,5,3.98,4.54E+02
5,4,5,3.966,4.55E+02
5,5,5,3.922,4.56E+02
5,6,5,3.928,4.57E+02
5,7,5,3.953,4.58E+02
5,8,5,3.962,4.59E+02
5,9,5,3.992,4.60E+02
6,0,5,3.965,4.61E+02
6,1,5,3.988,4.62E+02
6,2,5,3.989,4.63E+02
6,3,5,3.946,4.64E+02
6,4,5,3.922,4.65E+02
6,5,5,3.956,4.66E+02
6,6,5,3.964,4.67E+02
6,7,5,3.935,4.68E+02
6,8,5,3.991,4.69E+02
6,9,5,3.966,4.70E+02
7,0,5,3.964,4.71E+02
7,1,5,3.951,4.72E+02
7,2,5,3.921,4.73E+02
7,3,5,3.974,4.74E+02
7,4,5,3.997,4.75E+02
7,5,5,3.993,4.76E+02
7,6,5,3.946,4.77E+02
7,7,5,3.98,4.78E+02
7,8,5,3.946,4.79E+02
7,9,5,3.96,4.80E+02
8,0,5,3.966,4.81E+02
8,1,5,3.956,4.82E+02
8,2,5,3.972,4.83E+02
8,3,5,3.934,4.84E+02
8,4,5,3.925,4.85E+02
8,5,5,3.924,4.86E+02
8,6,5,3.965,4.87E+02
8,7,5,3.938,4.88E+02
8,8,5,3.979,4.89E+02
8,9,5,3.927,4.90E+02
9,0,5,3.99,4.91E+02
9,1,5,3.963,4.92E+02
9,2,5,3.929,4.93E+02
9,3,5,3.959,4.94E+02
9,4,5,3.974,4.95E+02
9,5,5,3.975,4.96E+02
9,6,5,3.972,4.97E+02
9,7,5,3.99,4.98E+02
9,8,5,3.96,4.99E+02
9,9,5,3.976,5.00E+02
0,0,6,3.925,5.01E+02
0,1,6,3.984,5.02E+02
0,2,6,3.93,5.03E+02
0,3,6,3.958,5.04E+02
0,4,6,3.931,5.05E+02
0,5,6,3.982,5.06E+02
0,6,6,3.982,5.07E+02
0,7,6,3.94,5.08E+02
0,8,6,3.967,5.09E+02
0,9,6,3.956,5.10E+02
1,0,6,3.985,5.11E+02
1,1,6,3.981,5.12E+02
1,2,6,3.989,5.13E+02
1,3,6,3.93,5.14E+02
1,4,6,3.958,5.15E+02
1,5,6,3.939,5.16E+02
1,6,6,3.972,5.17E+02
1,7,6,3.994,5.18E+02
1,8,6,3.927,5.19E+02
1,9,6,3.941,5.20E+02
2,0,6,3.933,5.21E+02
2,1,6,3.958,5.22E+02
2,2,6,3.998,5.23E+02
2,3,6,3.933,5.24E+02
2,4,6,3.976,5.25E+02
2,5,6,3.923,5.26E+02
2,6,6,3.949,5.27E+02
2,7,6,3.953,5.28E+02
2,8,6,3.998,5.29E+02
2,9,6,3.958,5.30E+02
3,0,6,3.944,5.31E+02
3,1,6,3.973,5.32E+02
3,2,6,3.95,5.33E+02
3,3,6,3.97,5.34E+02
3,4,6,3.984,5.35E+02
3,5,6,3.956,5.36E+02
3,6,6,3.996,5.37E+02
3,7,6,3.986,5.38E+02
3,8,6,3.974,5.39E+02
3,9,6,3.984,5.40E+02
4,0,6,3.958,5.41E+02
4,1,6,3.997,5.42E+02
4,2,6,3.996,5.43E+02
4,3,6,3.982,5.44E+02
4,4,6,3.992,5.45E+02
4,5,6,3.951,5.46E+02
4,6,6,3.952,5.47E+02
4,7,6,3.957,5.48E+02
4,8,6,3.956,5.49E+02
4,9,6,3.989,5.50E+02
5,0,6,3.938,5.51E+02
5,1,6,3.973,5.52E+02
5,2,6,3.943,5.53E+02
5,3,6,3.983,5.54E+02
5,4,6,3.959,5.55E+02
5,5,6,3.982,5.56E+02
5,6,6,3.962,5.57E+02
5,7,6,3.937,5.58E+02
5,8,6,3.957,5.59E+02
5,9,6,3.923,5.60E+02
6,0,6,3.929,5.61E+02
6,1,6,3.932,5.62E+02
6,2,6,3.935,5.63E+02
6,3,6,3.925,5.64E+02
6,4,6,3.987,5.65E+02
6,5,6,3.933,5.66E+02
6,6,6,3.929,5.67E+02
6,7,6,3.968,5.68E+02
6,8,6,3.938,5.69E+02
6,9,6,3.999,5.70E+02
7,0,6,3.945,5.71E+02
7,1,6,3.949,5.72E+02
7,2,6,3.959,5.73E+02
7,3,6,3.927,5.74E+02
7,4,6,3.954,5.75E+02
7,5,6,3.936,5.76E+02
7,6,6,3.964,5.77E+02
7,7,6,3.984,5.78E+02
7,8,6,3.942,5.79E+02
7,9,6,3.959,5.80E+02
8,0,6,3.926,5.81E+02
8,1,6,3.961,5.82E+02
8,2,6,3.946,5.83E+02
8,3,6,3.937,5.84E+02
8,4,6,3.978,5.85E+02
8,5,6,3.923,5.86E+02
8,6,6,3.997,5.87E+02
8,7,6,3.975,5.88E+02
8,8,6,3.954,5.89E+02
8,9,6,3.96,5.90E+02
9,0,6,3.949,5.91E+02
9,1,6,3.92,5.92E+02
9,2,6,3.967,5.93E+02
9,3,6,3.985,5.94E+02
9,4,6,3.928,5.95E+02
9,5,6,3.983,5.96E+02
9,6,6,3.978,5.97E+02
9,7,6,3.969,5.98E+02
9,8,6,3.937,5.99E+02
9,9,6,3.982,6.00E+02
0,0,7,3.963,6.01E+02
0,1,7,3.944,6.02E+02
0,2,7,3.965,6.03E+02
0,3,7,3.942,6.04E+02
0,4,7,3.929,6.05E+02
0,5,7,3.937,6.06E+02
0,6,7,3.931,6.07E+02
0,7,7,3.976,6.08E+02
0,8,7,3.969,6.09E+02
0,9,7,3.945,6.10E+02
1,0,7,3.984,6.11E+02
1,1,7,3.997,6.12E+02
1,2,7,3.976,6.13E+02
1,3,7,3.946,6.14E+02
1,4,7,3.934,6.15E+02
1,5,7,3.944,6.16E+02
1,6,7,3.999,6.17E+02
1,7,7,3.975,6.18E+02
1,8,7,3.921,6.19E+02
1,9,7,3.955,6.20E+02
2,0,7,3.936,6.21E+02
2,1,7,3.998,6.22E+02
2,2,7,3.965,6.23E+02
2,3,7,3.993,6.24E+02
2,4,7,3.964,6.25E+02
2,5,7,3.956,6.26E+02
2,6,7,3.961,6.27E+02
2,7,7,3.967,6.28E+02
2,8,7,3.989,6.29E+02
2,9,7,3.954,6.30E+02
3,0,7,3.99,6.31E+02
3,1,7,3.988,6.32E+02
3,2,7,3.925,6.33E+02
3,3,7,3.92,6.34E+02
3,4,7,3.981,6.35E+02
3,5,7,3.929,6.36E+02
3,6,7,3.94,6.37E+02
3,7,7,3.977,6.38E+02
3,8,7,3.99,6.39E+02
3,9,7,3.972,6.40E+02
4,0,7,3.957,6.41E+02
4,1,7,3.945,6.42E+02
4,2,7,3.983,6.43E+02
4,3,7,3.945,6.44E+02
4,4,7,3.949,6.45E+02
4,5,7,3.981,6.46E+02
4,6,7,3.94,6.47E+02
4,7,7,3.986,6.48E+02
4,8,7,3.99,6.49E+02
4,9,7,3.932,6.50E+02
5,0,7,3.939,6.51E+02
5,1,7,3.956,6.52E+02
5,2,7,3.972,6.53E+02
5,3,7,3.992,6.54E+02
5,4,7,3.973,6.55E+02
5,5,7,3.94,6.56E+02
5,6,7,3.95,6.57E+02
5,7,7,3.987,6.58E+02
5,8,7,3.948,6.59E+02
5,9,7,3.921,6.60E+02
6,0,7,3.938,6.61E+02
6,1,7,3.984,6.62E+02
6,2,7,3.92,6.63E+02
6,3,7,3.969,6.64E+02
6,4,7,3.986,6.65E+02
6,5,7,3.935,6.66E+02
6,6,7,3.942,6.67E+02
6,7,7,3.984,6.68E+02
6,8,7,3.998,6.69E+02
6,9,7,3.958,6.70E+02
7,0,7,3.979,6.71E+02
7,1,7,3.931,6.72E+02
7,2,7,3.998,6.73E+02
7,3,7,3.997,6.74E+02
7,4,7,3.933,6.75E+02
7,5,7,3.925,6.76E+02
7,6,7,3.993,6.77E+02
7,7,7,3.96,6.78E+02
7,8,7,3.987,6.79E+02
7,9,7,3.931,6.80E+02
8,0,7,3.925,6.81E+02
8,1,7,3.936,6.82E+02
8,2,7,3.968,6.83E+02
8,3,7,3.975,6.84E+02
8,4,7,3.957,6.85E+02
8,5,7,3.938,6.86E+02
8,6,7,3.949,6.87E+02
8,7,7,3.929,6.88E+02
8,8,7,3.947,6.89E+02
8,9,7,3.95,6.90E+02
9,0,7,3.995,6.91E+02
9,1,7,3.932,6.92E+02
9,2,7,3.972,6.93E+02
9,3,7,3.95,6.94E+02
9,4,7,3.959,6.95E+02
9,5,7,3.952,6.96E+02
9,6,7,3.921,6.97E+02
9,7,7,3.967,6.98E+02
9,8,7,3.969,6.99E+02
9,9,7,3.974,7.00E+02
0,0,8,3.993,7.01E+02
0,1,8,3.931,7.02E+02
0,2,8,3.929,7.03E+02
0,3,8,3.954,7.04E+02
0,4,8,3.948,7.05E+02
0,5,8,3.989,7.06E+02
0,6,8,3.923,7.07E+02
0,7,8,3.941,7.08E+02
0,8,8,3.947,7.09E+02
0,9,8,3.923,7.10E+02
1,0,8,3.965,7.11E+02
1,1,8,3.952,7.12E+02
1,2,8,3.978,7.13E+02
1,3,8,3.956,7.14E+02
1,4,8,3.99,7.15E+02
1,5,8,3.998,7.16E+02
1,6,8,3.938,7.17E+02
1,7,8,3.951,7.18E+02
1,8,8,3.936,7.19E+02
1,9,8,3.924,7.20E+02
